photo_geomangio	30	#c38c6d	#a47d56	#7d423e	#9f672a	#c04552	#ab5b51	#832c21	#532b14	#ae5e46	#586e50	#c8aa59	#bcbb81	#6c4439	#876552	#976b51	#7e4421	#3b1a15	#455446	#c3c8aa	#c36e57	#ca507b	#a4ac7c	#38342c	#e1f1e7	#261916	#b77a4c	#7f8162	#b48b81	#838a70	#6f8d60
photo_geomangio	30	#7f4a3b	#8f8b72	#554e3e	#715438	#8fa45e	#bdb38a	#a4612a	#cfb159	#879c63	#5e4843	#bdc5b7	#5e6f50	#b1a383	#a4695e	#372a25	#200b1b	#866162	#506745	#e3a48f	#c9537d	#977151	#b89f89	#542718	#a88945	#9e514b	#c68667	#913515	#547748	#c5474d	#83431f
photo_geomangio	30	#5d705b	#996c47	#714e2d	#d9eae5	#9da595	#5d4442	#6f7f55	#bcc5ac	#7d9f6c	#b09180	#996436	#ce5e74	#9b8c68	#94321d	#c9b87d	#c47b58	#aaaa89	#898070	#864930	#17121e	#74825a	#cdac61	#bc826a	#435e49	#c58f7d	#4d4e35	#a56855	#88635e	#8d8a74	#2a3a23
photo_geomangio	30	#707354	#a4684c	#823a14	#56211c	#648e50	#743e2e	#a96858	#39342f	#c1c8af	#bb957a	#957f59	#64444b	#bb765a	#261312	#cf847c	#7fac63	#a98542	#2f412f	#819e73	#e8e2d9	#7a695c	#715331	#a65f37	#626456	#96a08f	#4f3a1a	#d99d99	#c18c6f	#311f1a	#475340
photo_geomangio	30	#6d705e	#a84f43	#cba55a	#664a3a	#b98749	#26120a	#614345	#526246	#9d5e2b	#597f54	#728757	#aca581	#c4b27c	#cbc1ad	#b19878	#b37963	#834620	#7f857d	#c3434c	#a29ea0	#9b655b	#58381f	#495049	#917359	#eaefe9	#bd855d	#2d4632	#c56271	#d4897e	#849d5c
monet2	30	#533949	#84717b	#d6c1af	#783a6d	#835751	#b85f23	#a06939	#6a4952	#582346	#9a2836	#bf7824	#a87d9e	#bc918f	#5d2d26	#948669	#7b371d	#a56422	#713052	#9f634e	#ad1c2e	#bb8a47	#390923	#251412	#9f4628	#cca49d	#661c1c	#89728d	#865277	#701011	#ba8463
monet2	30	#7b1a21	#efba3b	#c35e2b	#1a1814	#6d3a67	#390c13	#da8422	#5c2358	#97836f	#a53922	#a5581e	#a71f24	#77412e	#e9953e	#9f6d2b	#74344a	#d1732e	#76162d	#c38348	#c28460	#896b83	#aa7fa0	#744c4a	#7c5655	#98253b	#59362e	#87837d	#32102e	#784768	#853d53
monet2	30	#351710	#a67c95	#551c18	#d19ca8	#aa451a	#8f8376	#c9beae	#6e2952	#7e6c88	#744064	#8a4f4f	#772331	#221017	#e29f34	#706673	#af8989	#672652	#c2701e	#898273	#745b4c	#b8531e	#b8732d	#9e542e	#741618	#8e6777	#995e36	#9e6851	#bf985b	#ba843c	#5a2d28
monet2	30	#735457	#b5907d	#8d263b	#2b0517	#8b9370	#815348	#a25d2f	#73163d	#783353	#cb6931	#dfa02c	#b65527	#652d46	#521817	#ca8e36	#9e3b2a	#814f45	#996455	#c07831	#7d4026	#5b362b	#553147	#460a11	#905c7e	#c8b5ad	#771424	#bf8661	#c18347	#e8bf3f	#a85730
monet2	30	#af8889	#715f74	#755259	#8e659a	#7c3a1f	#4d3848	#f0b136	#da8732	#742040	#918271	#9d591d	#6d2449	#ae7031	#b89137	#553926	#1a0e11	#9f1b23	#7d526b	#876571	#815b53	#d1bb9f	#720e19	#c2741d	#9d7a91	#9c7146	#d0932d	#6d4a72	#c75527	#63161b	#7a3e49
monet2	30	#7e0d1c	#81647c	#45111b	#c8969f	#ae7f7c	#8b7297	#95633a	#7d172d	#dc8b33	#3c1c21	#946176	#a12c25	#d68329	#9b3529	#db9f2f	#c57731	#c3845f	#d1b29e	#e4ac32	#7e3824	#942937	#b75e24	#8f9075	#a68aa2	#b87526	#7b4a6e	#4f3c3c	#a9572e	#9b624d	#844748
monet2	30	#6e4a63	#807084	#341522	#a42c21	#744a52	#6c2034	#a48294	#dd8b32	#533138	#bd937e	#9e6a53	#8a619b	#662549	#5d1018	#ba631e	#caa0aa	#894249	#969075	#6f2b54	#a73524	#d7a538	#b3742f	#863f2d	#d27925	#241417	#503529	#c78d46	#95223f	#d7b0ae	#7e0e23
monet2	30	#621d55	#c15526	#3f0b14	#d37a34	#7d7099	#f3b63f	#a51a2d	#6e4f54	#31142a	#452a3e	#8a5f77	#d17123	#b78836	#c8a0a3	#a74923	#662d52	#a36435	#d7952c	#c68656	#762437	#7e5c52	#c2848c	#9f5d28	#726e74	#745875	#b77f30	#a9889e	#831d13	#dda835	#6f3e66
monet2	30	#6e274e	#7d3d2a	#887578	#ca9069	#6d4d65	#1d1013	#8a504c	#d8a334	#977f6a	#d1c3af	#3e1434	#91273c	#745655	#d19baf	#463d43	#b2818e	#c07920	#a31d22	#884b46	#a76e59	#c4632b	#84739b	#b38438	#a36033	#45090f	#e7b63e	#824676	#6d2130	#a18198	#740e1a
monet2	30	#52191a	#731a2c	#c07c29	#aa552c	#a66f52	#a13c2c	#4c2c2b	#f1ad3b	#8a6f78	#d3b0a8	#d1a5aa	#7b4749	#7f816e	#6b2f53	#d79b3c	#7f382f	#562a52	#c25d1a	#a26f28	#8e223a	#9f1929	#977f76	#b88f45	#522d37	#d28c29	#ac7fa1	#c29765	#33122a	#d37c22	#8a7399
photo_pagedooley	30	#ffc7a8	#8a8c9d	#2c4c71	#777694	#221f43	#bb8f8e	#343345	#1a394b	#4a5a86	#7a798f	#ece7f5	#882f4c	#d8c7ba	#f59f9d	#d78393	#f99689	#fdcfb6	#f4f2d6	#181716	#f4b894	#202027	#d79ba7	#1f2438	#e3a5a7	#ffddae	#a9abb7	#343950	#f9c795	#202940	#586c8e
photo_pagedooley	30	#f69992	#efbaad	#2f3a4c	#803850	#54515e	#b79ba6	#fe8285	#3b506e	#f8eeda	#b2a6bd	#1a2235	#1e1e45	#f1eee3	#9e98a8	#dca6a8	#966e92	#170c1e	#ffd9b5	#d79c97	#fff0a2	#393966	#d67f9c	#8291a8	#2f3237	#375563	#16172a	#bb848e	#253c40	#4a5789	#ffae95
photo_pagedooley	30	#7b3d4d	#857e8e	#8f8f9c	#1f112d	#fdcc99	#454e63	#24242e	#ff919a	#f6a68f	#507396	#f1e1d4	#ba809a	#4e6287	#345161	#e6acac	#fdae94	#323e66	#3d4464	#233439	#ffeb9f	#6b85a0	#ffdda8	#946d99	#fc8f8c	#1c3b55	#182135	#fdcab8	#a99599	#cd8a99	#f3f8f5
